"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Yipf1",7.15959237970519,7.14155280467797,7.5095164232101,7.45378601402737,7.29127587018832,7.08173628320314,7.06422885010941,7.05111552737548,7.1258112182732,7.53256082683513,7.60569013446356,7.56195566562359
"Yipf2",7.20624325603267,6.73295367629313,7.61836802392127,6.80396800287181,7.2809512481434,6.95245806591226,6.96762766649608,6.9914743888606,7.13544436591224,7.25970345490317,7.04856449077785,7.20584267633292
"Yipf3",7.20624325603267,7.77975547190752,7.56518569324702,7.53466740240306,7.67202599534474,7.73866639301228,7.57522117471342,7.5668250967079,7.625225389135,7.36142984851072,7.96788883534251,7.80079197055048
"Yipf4",7.56630151111815,7.77975547190752,6.88547906104643,7.27246883370144,7.2386363493309,7.35977146694909,6.99624610735279,7.48614106922126,7.19141435776618,6.89867124809334,7.54500283114475,7.73388024608992
"Yipf5",7.31460913870149,7.61764050723437,7.54691879823509,7.51893215686025,7.84443349015456,7.72012689840592,7.84033021882376,7.64238766581544,7.33557892684124,7.4546580292149,7.41334334900303,7.6582852436002
"Yipf6",7.49813745736955,7.7013657813165,7.15529507750942,7.2116694834612,7.40817898480548,7.17615226130454,6.98204660215252,7.67573277770005,7.94038533673543,7.30665133563216,7.29065718062068,7.35451377744077
"Yjefn3",6.88619299275399,7.14155280467797,7.01489498603501,6.97817996073546,7.33162609442447,7.9525109553326,7.15213397482236,7.26719650718309,7.02932824410584,6.80949954119168,6.8410964504389,6.90344031802812
"Ykt6",7.93534603999824,8.22473558540633,8.22564058363021,7.87349027057824,8.05215762559885,7.90501764030115,7.96049972898825,8.08808994371327,8.16915219593767,7.8735061959737,8.21394858689619,7.92875590696722
"Ylpm1",8.89862735607569,7.98935252026673,8.48038903965826,8.30401247775264,8.17259835751334,7.55361071037013,8.52660578780286,8.83363796512241,8.40884579760994,8.3427714696107,8.01619949881011,8.23847068345943
"Yme1l1",8.36217341793249,7.81717801344739,8.0774708401437,8.12107485014005,8.04114395764358,8.00828068338003,8.2564625044503,8.15759912250758,8.05975831975811,7.99453385018573,8.12533671434341,8.15526482977739
"Yod1",7.93944033962867,7.74117919268015,7.41039615948035,7.56552346664537,7.70847586280423,6.96497088922404,7.28733193571591,8.02306076914449,7.48069047517929,7.58578228192694,6.95676716387341,7.41599008440061
"Ypel1",7.02354159361993,6.30699851990492,7.23106817134007,7.27246883370144,7.21683361147631,6.95245806591226,7.01023458963584,7.36425965030224,6.57716491371969,7.1823175523601,6.82723787776414,6.93265890255202
"Ypel2",6.99577819837651,7.43025080350288,7.36821169102283,7.36679582339376,7.42653264402404,7.6363948665357,7.54185652127222,7.64238766581544,7.55843177142656,7.05411832713035,6.95676716387341,7.20584267633292
"Ypel3",8.61616646297874,8.84245199768448,8.7177468202866,9.16525261153224,8.6414290522561,8.97537812958519,8.38952996195754,7.96772763801982,8.47961839700768,8.56750079833945,8.76907567534678,8.68625043217997
"Ypel4",7.57729056356007,7.92323263072229,8.0774708401437,7.63934967328565,7.59568455830709,7.53923787700479,7.86658604442108,7.8253051419448,7.35135042718446,7.4942591915527,8.15553605701485,7.54601208539008
"Ypel5",8.25721329823304,8.05226455976656,8.33932351036763,8.58838177953563,8.42712109089368,8.23138486293845,8.33149524125491,8.2624552603636,8.33239896607555,8.41416379824015,8.59858060583964,8.30208965642097
