R,G,B,hex_val,gene,hls_val
0.0,0.0009030000000000007,0.0,#000000,Lysmd3,#00cc00
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Lysmd4,#00ccb1
0.319,0.558,0.122,#518e1f,M1ap,#60a725
0.009,0.845,0.143,#02d724,Malsu1,#02d724
0.0,0.0002030000000000002,9.800000000000009e-05,#000000,Maml2,#00cc62
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Mamld1,#00ccb1
0.0016400000000000015,0.0003200000000000003,0.0,#000000,Mapkapk2,#cc2800
0.998001,0.0,0.035963999999999996,#fe0009,Mapre1,#fe0009
0.990009,0.0,0.035963999999999996,#fc0009,March11,#fc0009
0.999,0.0,0.034965,#ff0009,Mcl1,#ff0009
0.0,0.978096,0.006888,#00f902,Mea1,#00f902
0.995004,0.0,0.030969,#fe0008,Mest,#fe0008
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Mettl7a1,#00c3cc
