"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"Atp5h",8.63981691730299,8.39331656699109,7.95659820745794,8.72879726236121,8.57192326141271,8.47086235401883,8.53192951626441,8.32163199271948,8.89336484154119,8.11438003347268,7.7631066505435,8.13867340228301,8.62657167938167
"Atp5j",8.1847148611671,8.16095840066479,8.45909667908873,8.27481138177155,8.33582481454479,7.95314419274284,8.31859360719276,7.94562124304985,8.86143363309763,8.08981593053693,7.87081385957948,8.04724614062026,8.27250299147211
"Atp5j2",8.04634088570963,7.94729726387361,7.50619250364548,8.14137342336895,8.14918710580679,7.77132424480007,8.10132487724699,8.26524495339048,8.4819401068482,7.74840970592789,7.39395338019848,7.66704047259551,8.13153751492084
"Atp5k",8.01514281433838,7.64718615054745,7.24445063858983,7.59813914897308,7.50255605076814,7.40764174482614,7.6957938166803,7.63181816864038,8.00996790372412,7.22732374262818,7.08042487728213,7.46050351129551,7.84839136149828
"Atp5l",8.33427077718549,8.15563998681708,8.16893328496009,8.3400205003738,8.11603798788718,7.85204123203649,8.37417297300965,7.953041058342,8.50841160544991,7.6627799467675,7.57220070525057,8.13867340228301,8.22722283281508
"Atp5o",8.63981691730299,8.49970662708522,8.30270784046625,8.55848283563741,8.21742448202392,8.37482534276697,8.50065993021306,7.96774571644019,8.88941376829334,7.84335779881079,7.68526209911497,8.18385753758178,8.44639854015295
"Atp5s",6.76881718355703,6.77077627731591,6.67285474973149,6.97839051678438,6.57689113003314,6.99571151536232,6.81694745198997,6.86838188180244,7.03290867483858,7.37902831479598,7.00071729081291,7.08314192257245,7.00576446086811
"Atp5sl",7.33565788085544,7.65532924658586,7.13768495308341,7.43056178004998,7.37208692610573,7.64671914223343,7.70709578597271,7.61210734262565,7.67274645147276,7.40211398417319,7.39395338019848,7.49451556108929,7.60139458350962
"Atp6ap1",9.67499627158521,9.6403434406595,9.66150389261375,9.71176202891125,9.63599378824887,9.46480576554548,9.52899043138825,9.46814696125849,9.58738172260203,9.45015878353031,9.03024479152332,9.43569945657533,9.58495338350233
"Atp6ap1l",6.19555391767952,6.19555391767952,6.19555391767952,6.33782915330226,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.38529461339979,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952
