tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Eme2,-0.3585115212833063,0.7153895981176581,0.14545737885429103,yoked vs. trained,NS
DG,Emg1,-0.06514070976093543,0.9401556452445919,0.02680024185220061,yoked vs. trained,NS
DG,Eml1,0.07751182477891323,0.9532690712084718,0.020784497423028767,yoked vs. trained,NS
DG,Eml2,-0.01255785654897032,0.9893328589860176,0.004657566340238102,yoked vs. trained,NS
DG,Eml3,0.16401700839249525,0.9286779724824811,0.03213485545634042,yoked vs. trained,NS
DG,Eml4,0.35422918277136284,0.508209757580514,0.2939570007915677,yoked vs. trained,NS
DG,Eml5,0.05300085174254479,0.9559984811174506,0.019542797726864253,yoked vs. trained,NS
DG,Eml6,-0.2601874236539602,0.7064962793605255,0.15089012094556797,yoked vs. trained,NS
DG,Emp1,2.5700782791654957,0.24182872611596976,0.6164921118596411,yoked vs. trained,NS
DG,Emp2,0.22703828088888062,0.8524025922654395,0.0693552382106933,yoked vs. trained,NS
DG,Emsy,-0.03368529400041485,0.9685574042694816,0.013874634502252759,yoked vs. trained,NS
DG,Emx1,-0.15816726637940048,0.9087048066886525,0.04157717469554287,yoked vs. trained,NS
DG,Emx2,0.5671845251363542,0.3664019622350896,0.43604220917015424,yoked vs. trained,NS
DG,Enah,0.14063525983882585,0.7246486340290965,0.1398725221070572,yoked vs. trained,NS
DG,Enc1,0.04992466914305266,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Endod1,-0.12964898152637674,0.9186137621749364,0.0368670525041363,yoked vs. trained,NS
DG,Endog,0.4421028636429312,0.752315153642252,0.12360019023859599,yoked vs. trained,NS
DG,Endov,0.0051367145890894046,0.9958498188947035,0.0018061512782068048,yoked vs. trained,NS
DG,Eng,0.5781275792392504,0.6321658464815555,0.19916897114317683,yoked vs. trained,NS
DG,Engase,0.1753220678099672,0.9227965241399537,0.034894049987182686,yoked vs. trained,NS
DG,Enho,0.018292031094353064,0.993352177933755,0.0028967516886953307,yoked vs. trained,NS
DG,Enkd1,-0.2432934614196305,0.9024763540292267,0.04456416831333954,yoked vs. trained,NS
DG,Eno1,-0.20633956652658544,0.5979825821580366,0.22331146581563274,yoked vs. trained,NS
DG,Eno2,-0.05128130665792173,0.9258467764102541,0.03346088120748671,yoked vs. trained,NS
DG,Eno3,-0.37706693475148295,0.8796980841814707,0.055666353840655464,yoked vs. trained,NS
DG,Enoph1,0.2922394252053975,0.6660758828833698,0.17647629088943798,yoked vs. trained,NS
DG,Enox1,0.45730895762707685,0.14850829198890161,0.828249296754269,yoked vs. trained,NS
DG,Enox2,-0.6316280000524327,0.6653433669144984,0.17695416842550887,yoked vs. trained,NS
DG,Enpp2,0.24311170384466338,0.8694117694216095,0.0607744849638349,yoked vs. trained,NS
DG,Enpp4,-0.08409922287262198,0.9387320763676755,0.027458342087830264,yoked vs. trained,NS
DG,Enpp5,-0.1352076382377462,0.8002077022884067,0.09679727269551917,yoked vs. trained,NS
DG,Ensa,-0.056883315812821716,0.9254041702041267,0.03366854774452902,yoked vs. trained,NS
DG,Enthd2,-0.2344241268255413,0.8807265162194374,0.05515892806415762,yoked vs. trained,NS
DG,Entpd1,1.1947914737252008,0.2617402488623664,0.5821294889964002,yoked vs. trained,NS
DG,Entpd3,-0.906829696971658,0.29101783061639863,0.5360804010447553,yoked vs. trained,NS
DG,Entpd4,-0.14778469649593515,0.8510638059399546,0.07003787877692697,yoked vs. trained,NS
DG,Entpd5,0.06765005913754278,0.9610554179495097,0.01725156861060003,yoked vs. trained,NS
DG,Entpd6,-0.27824794898016036,0.6946006766240916,0.15826479797030948,yoked vs. trained,NS
DG,Entpd7,0.08352950099111704,0.9701044239416964,0.013181514908241354,yoked vs. trained,NS
DG,Eny2,-0.28455369064263464,0.6328626779596892,0.1986905153763199,yoked vs. trained,NS
DG,Eogt,-0.36904619391039484,0.785015116630269,0.10512198018990628,yoked vs. trained,NS
DG,Ep300,0.3246972978420055,0.5211758814232076,0.28301569044060315,yoked vs. trained,NS
