"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Asxl3",7.0997483548949,7.00628638416019,7.40105166518167,7.50099732282199,7.59918914676783,7.39963240122941,7.09354968194022,7.34483032573424,7.27254080036614,7.37561952492369,7.49821234398134,7.11829087830553,7.48992093614572,6.97484103889554
"Atad1",7.97952154699158,7.966507885626,8.44211104350269,8.21723256878516,7.9530343349514,8.12282000118276,8.12499804743844,7.97394190046799,8.17351662560401,7.58173974254216,7.98202545613501,8.21999297380089,8.15358061013226,7.66381398987837
"Atad2",6.76131236616563,6.82917263894426,6.74109501664983,7.05075933980349,6.75375508441941,6.94580912781696,6.89247316459068,7.32959100245779,6.76123315507629,6.58479496152129,7.02405148514657,7.00038280539984,6.98784521746649,7.05647339118657
"Atad2b",7.15895842433885,7.34856345375908,6.85456784300786,7.42740907420336,7.32680211188991,7.19498927077409,7.24277912875395,7.06980598834536,6.85902359854221,6.93165098986756,7.35033040605999,7.33628193567635,7.51388711754735,7.20160098153457
"Atad3a",7.67070457421075,7.89602458045725,7.99393099490718,7.44795300469522,7.5907878953422,7.75393175882528,7.69367055382754,7.52610742653134,7.67055480724476,7.881526483398,7.7690498697726,7.88540826645216,7.88274827000817,7.79146225993962
"Atad5",6.61744607990813,6.67102190486188,6.65478550392934,6.51428945121699,6.71336581321501,6.63805807491121,6.86706203553531,6.7952424237132,6.56270199404727,7.12189081631675,6.68486567743179,6.83405821815985,6.49523758961441,6.34960526491837
"Atat1",7.44560784574019,7.69652196848764,7.24946237640225,7.40648509420749,7.32680211188991,7.33883197395273,7.13297418304962,7.2663974619239,7.16795104656977,7.54334719375922,7.28193448279122,7.41242374571152,7.7020962458865,7.61811079742511
"Atcay",9.23180021886947,9.42026780512944,9.25574980992829,9.03905065540921,9.2589587401533,9.26229857575808,9.26876417781256,9.02552726718122,9.17458412681906,9.40019524539034,9.10985779679329,9.33529767244987,8.97188425265917,9.14243251324469
"Ate1",8.05728239555193,8.00338244934258,8.08962624270935,8.42067042603546,8.31369824738011,7.99274363611899,8.09124495257487,8.1419117537417,8.12529675986371,8.09882847404841,8.14621345634237,7.93980089554132,8.24690689542585,7.77108412499101
"Atf1",7.18476151775526,6.64862789936794,7.2724625558378,7.34125352023531,7.07601682664183,6.84776407273955,7.40375694043571,7.1273301619328,6.76123315507629,7.69001879292195,7.2030268292781,6.98455256273728,7.19825042257931,7.32877106677276
"Atf2",8.34100630461205,8.42498825994264,8.28244023634472,8.30233750428779,8.29926707315296,8.44053609097669,8.29665922363786,8.39913989765827,8.3833902879083,8.28514083161857,8.31348279568784,8.28686672280348,8.33908906041883,8.23173616084965
"Atf3",9.52089260507918,8.24601779769519,8.91686534680215,9.81834153345706,10.0813777285411,7.18946960877026,9.00614241514749,8.55850870833802,9.3945716176259,9.8619930087109,9.77204623531708,6.8308867041047,8.89143379638283,8.43173867412944
"Atf4",8.62236057280521,8.42057006141985,8.3693167353326,8.68329252168974,8.7517419545139,7.93273494654809,8.28931771041276,8.25515885959366,8.34229110457797,8.99728311356442,8.43674108522729,8.01569272803983,8.35385624241065,8.48042927879507
"Atf5",7.48883648223612,7.39950964521745,7.01517295990966,7.34125352023531,7.17888850735416,7.18946960877026,7.15211556031116,7.50002371880162,7.25244209628763,7.32947232500784,7.1733309858566,6.99776325284753,7.05589313721217,7.09479802462732
"Atf6",9.10866026772625,8.61415513206982,8.69240233711182,9.10205551926542,9.12450647123993,9.03769227048915,9.25049151061979,8.58145815541221,8.81098478502689,8.84699849877056,8.89204782050327,9.00550151953754,8.79368742609868,8.31533698691949
"Atf6b",8.39307317280594,8.44686622600867,8.69240233711182,8.27105448198334,8.51349348730723,8.46032197989229,8.41570459271364,8.21101185423217,8.57207609675734,8.74218460530377,8.12204786154292,8.46044555799827,8.20653954623106,8.34208503380434
"Atf7",7.57790610911502,8.02739383630629,8.1460631931716,7.93668337164834,7.88186079379574,8.11012453182071,8.11664074756679,8.39913989765827,8.04426356246881,7.65499607497827,8.25349568029668,8.27463494705395,8.36117964529139,7.8886579891408
"Atf7ip",8.39873652805116,8.28572624865987,8.16797793612976,8.60580002838613,8.46302197747334,8.72720809860295,8.74214409597192,8.82590327468059,8.55076260095594,8.64557717930632,8.54579101264494,8.65411819301512,8.40666187353361,8.52744118036217
"Atg10",6.69298493250939,6.77362231858376,5.90418219343334,6.67256314609322,6.79211266543344,6.52268310374635,6.36460334230246,5.90418219343334,6.51459614637335,5.90418219343334,6.5571312226465,6.49934354905962,6.33438824088025,6.53165311686628
